Trade_ID,Timestamp,Instrument,Price,Quantity,Trade_Status,Error_Type
T000062,2026-01-09 08:08:19.819273,MSFT,,440,FAILED,Missing Price
T000106,2026-01-06 09:05:19.819273,AMZN,,634,SUCCESS,Missing Price
T000140,2026-01-04 19:55:19.819273,AAPL,,346,SUCCESS,Missing Price
T000257,2026-01-06 06:22:19.819273,MSFT,,654,SUCCESS,Missing Price
T000300,2026-01-03 00:49:19.819273,TCS,,707,SUCCESS,Missing Price
T000333,2026-01-03 06:03:19.819273,AMZN,,87,SUCCESS,Missing Price
T000360,2026-01-04 17:49:19.819273,MSFT,,662,SUCCESS,Missing Price
T000426,2026-01-04 00:13:19.819273,AMZN,,619,SUCCESS,Missing Price
T000439,2026-01-06 03:14:19.819273,GOOG,,723,SUCCESS,Missing Price
T000442,2026-01-04 06:28:19.819273,TSLA,,29,SUCCESS,Missing Price
T000618,2026-01-03 02:20:19.819273,AAPL,,926,SUCCESS,Missing Price
T000950,2026-01-05 19:33:19.819273,TSLA,,623,SUCCESS,Missing Price
T000979,2026-01-04 02:07:19.819273,MSFT,,257,SUCCESS,Missing Price
T001083,2026-01-05 23:48:19.819273,MSFT,,376,SUCCESS,Missing Price
T001131,2026-01-05 02:31:19.819273,GOOG,,801,SUCCESS,Missing Price
T001138,2026-01-04 18:38:19.819273,TCS,,811,CANCELLED,Missing Price
T001139,2026-01-08 11:07:19.819273,AMZN,,888,SUCCESS,Missing Price
T001144,2026-01-08 01:25:19.819273,AMZN,,505,SUCCESS,Missing Price
T001216,2026-01-03 06:38:19.819273,TCS,,606,SUCCESS,Missing Price
T001379,2026-01-05 17:08:19.819273,INFY,,837,SUCCESS,Missing Price
T001386,2026-01-08 07:38:19.819273,TCS,,531,SUCCESS,Missing Price
T001453,2026-01-08 17:39:19.819273,INFY,,855,SUCCESS,Missing Price
T001528,2026-01-03 09:06:19.819273,INFY,,491,SUCCESS,Missing Price
T001651,2026-01-06 14:54:19.819273,TCS,,649,SUCCESS,Missing Price
T001701,2026-01-05 04:19:19.819273,INFY,,916,SUCCESS,Missing Price
T001706,2026-01-05 17:47:19.819273,TCS,,433,SUCCESS,Missing Price
T001721,2026-01-04 06:17:19.819273,INFY,,19,FAILED,Missing Price
T001811,2026-01-04 03:36:19.819273,GOOG,,436,SUCCESS,Missing Price
T001927,2026-01-07 06:16:19.819273,GOOG,,524,SUCCESS,Missing Price
T001976,2026-01-04 11:39:19.819273,TSLA,,-1,SUCCESS,Missing Price
T000001,2026-01-04 02:08:19.819273,AMZN,167.73,72,SUCCESS,Duplicate Trade_ID
T000001,2026-01-07 18:16:19.819273,INFY,947.42,561,SUCCESS,Duplicate Trade_ID
T000001,2026-01-06 06:16:19.819273,TSLA,1816.12,123,SUCCESS,Duplicate Trade_ID
T000001,2026-01-06 10:45:19.819273,AAPL,166.96,43,SUCCESS,Duplicate Trade_ID
T000001,2026-01-05 00:02:19.819273,TSLA,328.84,762,SUCCESS,Duplicate Trade_ID
T000001,2026-01-05 19:12:19.819273,INFY,1458.39,382,SUCCESS,Duplicate Trade_ID
T000001,2026-01-08 08:11:19.819273,INFY,2062.79,395,SUCCESS,Duplicate Trade_ID
T000001,2026-01-06 13:50:19.819273,AMZN,3397.75,969,SUCCESS,Duplicate Trade_ID
T000001,2026-01-03 00:27:19.819273,AMZN,427.2,643,SUCCESS,Duplicate Trade_ID
T000001,2026-01-08 20:12:19.819273,MSFT,579.67,651,FAILED,Duplicate Trade_ID
T000001,2026-01-07 04:46:19.819273,AAPL,348.84,275,SUCCESS,Duplicate Trade_ID
T000066,2026-01-03 20:56:19.819273,GOOG,1164.5,-1,SUCCESS,Invalid Quantity
T000135,2026-01-07 19:24:19.819273,INFY,276.75,-1,SUCCESS,Invalid Quantity
T000146,2026-01-08 21:44:19.819273,TCS,306.65,-1,SUCCESS,Invalid Quantity
T000200,2026-01-03 18:40:19.819273,GOOG,879.79,-1,CANCELLED,Invalid Quantity
T000317,2026-01-08 17:39:19.819273,MSFT,1075.96,-1,FAILED,Invalid Quantity
T000379,2026-01-03 05:46:19.819273,INFY,1674.41,-1,SUCCESS,Invalid Quantity
T000963,2026-01-04 11:13:19.819273,AAPL,1945.76,-1,SUCCESS,Invalid Quantity
T001073,2026-01-06 21:24:19.819273,AMZN,3343.57,-1,SUCCESS,Invalid Quantity
T001080,2026-01-07 02:20:19.819273,GOOG,810.66,-1,SUCCESS,Invalid Quantity
T001135,2026-01-08 03:30:19.819273,GOOG,922.9,-1,FAILED,Invalid Quantity
T001406,2026-01-05 18:55:19.819273,MSFT,950.63,-1,SUCCESS,Invalid Quantity
T001465,2026-01-07 16:48:19.819273,TCS,2783.83,-1,SUCCESS,Invalid Quantity
T001480,2026-01-03 02:20:19.819273,AMZN,2892.82,-1,SUCCESS,Invalid Quantity
T001493,2026-01-08 16:53:19.819273,INFY,2553.52,-1,CANCELLED,Invalid Quantity
T001550,2026-01-09 05:15:19.819273,AAPL,2749.12,-1,SUCCESS,Invalid Quantity
T001697,2026-01-07 16:55:19.819273,MSFT,2064.45,-1,SUCCESS,Invalid Quantity
T001752,2026-01-04 21:57:19.819273,GOOG,2480.27,-1,FAILED,Invalid Quantity
T001766,2026-01-03 17:12:19.819273,INFY,1634.34,-1,SUCCESS,Invalid Quantity
T001808,2026-01-05 13:38:19.819273,TCS,3303.55,-1,FAILED,Invalid Quantity
T001976,2026-01-04 11:39:19.819273,TSLA,,-1,SUCCESS,Invalid Quantity
