Trade_ID,Timestamp,Instrument,Price,Quantity,Trade_Status
T000001,2026-01-04 02:08:19.819273,AMZN,167.73,72,SUCCESS
T000002,2026-01-07 03:09:19.819273,AAPL,2024.58,626,SUCCESS
T000003,2026-01-04 05:03:19.819273,MSFT,919.34,748,SUCCESS
T000004,2026-01-08 07:04:19.819273,TCS,1746.19,604,SUCCESS
T000005,2026-01-07 14:11:19.819273,TSLA,1531.58,449,SUCCESS
T000006,2026-01-08 02:08:19.819273,INFY,2416.85,96,SUCCESS
T000007,2026-01-03 06:33:19.819273,TCS,2396.06,204,SUCCESS
T000008,2026-01-09 09:28:19.819273,AMZN,1088.28,643,SUCCESS
T000009,2026-01-07 18:52:19.819273,INFY,2049.89,157,SUCCESS
T000010,2026-01-09 00:10:19.819273,TCS,2382.26,480,FAILED
T000011,2026-01-06 08:48:19.819273,TSLA,696.93,449,FAILED
T000012,2026-01-05 02:08:19.819273,TCS,2817.06,556,SUCCESS
T000013,2026-01-02 16:14:19.819273,TCS,2458.14,121,SUCCESS
T000014,2026-01-04 21:53:19.819273,MSFT,2491.88,59,SUCCESS
T000015,2026-01-08 22:07:19.819273,GOOG,2508.25,688,SUCCESS
T000016,2026-01-05 13:10:19.819273,GOOG,232.67,766,SUCCESS
T000017,2026-01-04 00:56:19.819273,TSLA,2032.06,850,SUCCESS
T000018,2026-01-08 16:36:19.819273,AMZN,2437.32,203,SUCCESS
T000019,2026-01-07 15:54:19.819273,TCS,3163.86,235,SUCCESS
T000020,2026-01-07 19:12:19.819273,AAPL,303.21,275,FAILED
T000021,2026-01-04 01:52:19.819273,AAPL,2198.42,499,SUCCESS
T000022,2026-01-08 16:13:19.819273,INFY,2817.18,11,SUCCESS
T000023,2026-01-03 23:32:19.819273,TCS,2175.6,644,SUCCESS
T000024,2026-01-07 08:31:19.819273,TCS,784.78,503,SUCCESS
T000025,2026-01-08 21:26:19.819273,INFY,2939.74,235,CANCELLED
T000026,2026-01-05 09:39:19.819273,AMZN,1142.65,565,FAILED
T000027,2026-01-08 13:25:19.819273,MSFT,1039.11,89,SUCCESS
T000028,2026-01-02 20:48:19.819273,TCS,1180.2,856,SUCCESS
T000029,2026-01-05 19:07:19.819273,AAPL,2012.41,109,CANCELLED
T000030,2026-01-08 15:39:19.819273,MSFT,1820.67,878,SUCCESS
T000031,2026-01-05 23:29:19.819273,TCS,705.23,242,SUCCESS
T000032,2026-01-05 16:07:19.819273,TCS,1956.06,146,SUCCESS
